,s_region,e_region,index
0,A_0,A_0,187.4999999999943
1,A_0,A_1,0.30000000000000004
2,A_0,A_10,0.7999999999999999
3,A_0,A_100,0.2
4,A_0,A_108,0.4
5,A_0,A_11,0.7
6,A_0,A_110,0.1
7,A_0,A_111,0.1
8,A_0,A_112,0.30000000000000004
9,A_0,A_116,0.1
10,A_0,A_117,0.1
11,A_0,A_12,0.1
12,A_0,A_13,0.4
13,A_0,A_14,0.2
14,A_0,A_15,0.2
15,A_0,A_16,0.4
16,A_0,A_17,0.1
17,A_0,A_18,0.5
18,A_0,A_19,0.30000000000000004
19,A_0,A_2,0.2
20,A_0,A_20,0.6
21,A_0,A_23,0.2
22,A_0,A_25,0.1
23,A_0,A_26,0.2
24,A_0,A_29,2.7000000000000006
25,A_0,A_30,0.30000000000000004
26,A_0,A_31,0.30000000000000004
27,A_0,A_32,0.1
28,A_0,A_33,0.1
29,A_0,A_34,0.2
30,A_0,A_35,0.1
31,A_0,A_38,0.6
32,A_0,A_39,2.800000000000001
33,A_0,A_4,0.30000000000000004
34,A_0,A_40,0.5
35,A_0,A_41,0.7
36,A_0,A_42,0.30000000000000004
37,A_0,A_43,0.5
38,A_0,A_44,0.1
39,A_0,A_46,0.1
40,A_0,A_47,0.2
41,A_0,A_49,0.7
42,A_0,A_50,0.2
43,A_0,A_51,0.2
44,A_0,A_52,0.2
45,A_0,A_55,0.5
46,A_0,A_57,0.1
47,A_0,A_59,0.5
48,A_0,A_6,0.2
49,A_0,A_61,0.5
50,A_0,A_62,0.1
51,A_0,A_64,0.4
52,A_0,A_65,0.30000000000000004
53,A_0,A_67,2.2000000000000006
54,A_0,A_7,0.1
55,A_0,A_71,0.30000000000000004
56,A_0,A_72,0.1
57,A_0,A_77,0.2
58,A_0,A_79,0.30000000000000004
59,A_0,A_8,0.2
60,A_0,A_81,0.1
61,A_0,A_82,0.2
62,A_0,A_83,0.2
63,A_0,A_84,0.1
64,A_0,A_9,0.30000000000000004
65,A_0,A_93,0.1
66,A_0,A_94,0.1
67,A_0,A_95,0.1
68,A_0,A_96,0.1
69,A_0,A_99,0.1
70,A_1,A_0,0.1
71,A_1,A_1,209.9999999999931
72,A_1,A_10,0.30000000000000004
73,A_1,A_102,0.30000000000000004
74,A_1,A_104,0.1
75,A_1,A_105,0.1
76,A_1,A_106,0.2
77,A_1,A_107,0.30000000000000004
78,A_1,A_108,0.1
79,A_1,A_11,0.2
80,A_1,A_110,0.6
81,A_1,A_112,0.2
82,A_1,A_114,0.1
83,A_1,A_12,0.5
84,A_1,A_13,0.4
85,A_1,A_14,0.1
86,A_1,A_15,0.1
87,A_1,A_16,0.4
88,A_1,A_17,0.8999999999999999
89,A_1,A_18,0.1
90,A_1,A_19,0.4
91,A_1,A_2,0.4
92,A_1,A_20,0.4
93,A_1,A_21,0.4
94,A_1,A_25,0.1
95,A_1,A_26,0.2
96,A_1,A_27,0.1
97,A_1,A_28,0.4
98,A_1,A_29,1.0999999999999999
99,A_1,A_30,0.2
100,A_1,A_32,0.1
101,A_1,A_34,1.6
102,A_1,A_35,1.2
103,A_1,A_36,1.3
104,A_1,A_37,0.4
105,A_1,A_38,1.6
106,A_1,A_39,2.2000000000000006
107,A_1,A_40,0.5
108,A_1,A_41,1.2
109,A_1,A_42,0.2
110,A_1,A_43,0.2
111,A_1,A_44,0.1
112,A_1,A_46,0.4
113,A_1,A_47,0.6
114,A_1,A_48,0.2
115,A_1,A_49,0.8999999999999999
116,A_1,A_5,1.0999999999999999
117,A_1,A_50,0.7999999999999999
118,A_1,A_51,1.5000000000000002
119,A_1,A_52,0.30000000000000004
120,A_1,A_53,0.2
121,A_1,A_55,0.30000000000000004
122,A_1,A_56,0.4
123,A_1,A_57,0.8
124,A_1,A_60,0.7
125,A_1,A_61,1.0999999999999999
126,A_1,A_62,1.4000000000000001
127,A_1,A_63,0.1
128,A_1,A_64,0.7999999999999999
129,A_1,A_65,0.9999999999999999
130,A_1,A_66,0.2
131,A_1,A_67,1.4000000000000001
132,A_1,A_68,0.4
133,A_1,A_69,0.2
134,A_1,A_7,0.2
135,A_1,A_71,0.2
136,A_1,A_73,0.8
137,A_1,A_74,0.4
138,A_1,A_75,0.30000000000000004
139,A_1,A_78,0.2
140,A_1,A_79,0.1
141,A_1,A_82,0.1
142,A_1,A_83,0.1
143,A_1,A_84,0.2
