,s_region,e_region,index
0,B_0,B_0,145.1999999999966
1,B_0,B_1,3.2000000000000015
2,B_0,B_15,0.1
3,B_0,B_19,0.1
4,B_0,B_2,0.6
5,B_0,B_6,0.2
6,B_1,B_0,3.600000000000002
7,B_1,B_1,83.19999999999965
8,B_1,B_13,0.1
9,B_1,B_15,0.1
10,B_1,B_2,18.399999999999995
11,B_1,B_3,0.2
12,B_1,B_4,0.4
13,B_1,B_6,0.1
14,B_1,B_7,0.1
15,B_1,B_8,0.1
16,B_10,B_10,21.700000000000024
17,B_10,B_14,0.6
18,B_10,B_15,0.30000000000000004
19,B_10,B_16,0.1
20,B_10,B_28,0.1
21,B_10,B_3,0.1
22,B_10,B_4,0.1
23,B_10,B_7,9.999999999999982
24,B_10,B_8,15.299999999999967
25,B_10,B_9,20.20000000000001
26,B_11,B_11,47.0000000000003
27,B_11,B_12,1.6000000000000003
28,B_11,B_13,33.800000000000175
29,B_11,B_15,4.300000000000001
30,B_11,B_16,8.799999999999986
31,B_11,B_17,7.399999999999994
32,B_11,B_19,1.9000000000000006
33,B_11,B_20,2.3000000000000003
34,B_11,B_21,1.6000000000000003
35,B_11,B_22,0.2
36,B_11,B_23,1.7000000000000004
37,B_11,B_24,1.9000000000000004
38,B_11,B_25,0.6000000000000001
39,B_11,B_27,0.7
40,B_11,B_28,0.30000000000000004
41,B_11,B_29,0.1
42,B_11,B_3,0.2
43,B_11,B_4,0.7
44,B_11,B_5,0.30000000000000004
45,B_11,B_6,0.30000000000000004
46,B_11,B_7,0.30000000000000004
47,B_12,B_11,2.1000000000000005
48,B_12,B_12,56.60000000000041
49,B_12,B_13,6.899999999999993
50,B_12,B_15,10.599999999999982
51,B_12,B_16,9.199999999999985
52,B_12,B_17,4.000000000000002
53,B_12,B_18,0.1
54,B_12,B_19,4.6
55,B_12,B_20,1.2
56,B_12,B_21,1.0999999999999999
57,B_12,B_23,2.0000000000000004
58,B_12,B_24,1.5000000000000002
59,B_12,B_25,0.7999999999999999
60,B_12,B_27,0.30000000000000004
61,B_12,B_28,0.1
62,B_12,B_29,0.2
63,B_12,B_3,0.7
64,B_12,B_5,0.1
65,B_12,B_6,0.4
66,B_13,B_11,33.50000000000014
67,B_13,B_12,6.099999999999998
68,B_13,B_13,101.99999999999878
69,B_13,B_15,28.10000000000011
70,B_13,B_16,50.20000000000037
71,B_13,B_17,37.4000000000002
72,B_13,B_19,11.799999999999978
73,B_13,B_20,10.499999999999982
74,B_13,B_21,5.1999999999999975
75,B_13,B_22,0.6
76,B_13,B_23,6.199999999999994
77,B_13,B_24,6.499999999999994
78,B_13,B_25,2.600000000000001
79,B_13,B_26,0.1
80,B_13,B_27,1.0999999999999999
81,B_13,B_28,1.0999999999999999
82,B_13,B_29,0.30000000000000004
83,B_13,B_3,1.8000000000000005
84,B_13,B_4,2.1000000000000005
85,B_13,B_5,0.7
86,B_13,B_6,0.6
87,B_13,B_7,0.5
88,B_13,B_8,0.7999999999999999
89,B_13,B_9,0.4
90,B_14,B_10,0.9999999999999999
91,B_14,B_13,0.1
92,B_14,B_14,29.000000000000096
93,B_14,B_15,0.2
94,B_14,B_19,0.1
95,B_14,B_26,0.5
96,B_14,B_7,3.600000000000002
97,B_14,B_8,1.2
98,B_14,B_9,4.100000000000001
99,B_15,B_10,0.1
100,B_15,B_11,4.4
101,B_15,B_12,10.199999999999982
102,B_15,B_13,25.80000000000009
103,B_15,B_15,113.59999999999825
104,B_15,B_16,99.29999999999897
105,B_15,B_17,36.10000000000021
106,B_15,B_19,73.00000000000014
107,B_15,B_20,28.800000000000125
108,B_15,B_21,11.099999999999978
109,B_15,B_22,0.6
110,B_15,B_23,17.399999999999977
111,B_15,B_24,9.699999999999985
112,B_15,B_25,5.799999999999996
113,B_15,B_27,3.2000000000000015
114,B_15,B_28,1.6000000000000003
115,B_15,B_29,0.2
116,B_15,B_3,1.5000000000000002
117,B_15,B_4,0.9999999999999999
118,B_15,B_5,1.0999999999999999
119,B_15,B_6,0.30000000000000004
120,B_15,B_7,0.1
121,B_15,B_8,0.6000000000000001
122,B_15,B_9,0.2
123,B_16,B_0,0.1
124,B_16,B_11,7.999999999999989
125,B_16,B_12,9.299999999999988
126,B_16,B_13,49.40000000000039
127,B_16,B_14,0.1
128,B_16,B_15,107.69999999999861
129,B_16,B_16,284.69999999999754
130,B_16,B_17,103.89999999999873
131,B_16,B_19,50.70000000000043
132,B_16,B_20,346.80000000000445
133,B_16,B_21,30.10000000000012
134,B_16,B_22,2.0000000000000004
135,B_16,B_23,25.400000000000077
136,B_16,B_24,16.69999999999997
137,B_16,B_25,13.799999999999983
138,B_16,B_27,1.4
139,B_16,B_28,1.6000000000000003
140,B_16,B_29,0.5
141,B_16,B_3,0.7999999999999999
142,B_16,B_4,0.7999999999999999
143,B_16,B_5,0.7
144,B_16,B_6,0.30000000000000004
145,B_16,B_7,0.7999999999999999
146,B_16,B_8,0.8999999999999999
147,B_16,B_9,0.1
148,B_17,B_10,0.1
149,B_17,B_11,7.499999999999993
150,B_17,B_12,4.300000000000001
151,B_17,B_13,37.600000000000236
152,B_17,B_15,35.4000000000002
153,B_17,B_16,100.1999999999988
154,B_17,B_17,86.09999999999964
155,B_17,B_19,20.000000000000004
156,B_17,B_20,24.600000000000055
157,B_17,B_21,26.10000000000008
158,B_17,B_22,0.9999999999999999
159,B_17,B_23,17.599999999999984
160,B_17,B_24,16.39999999999997
161,B_17,B_25,5.099999999999998
162,B_17,B_26,0.2
163,B_17,B_27,0.9999999999999999
164,B_17,B_28,0.8999999999999999
165,B_17,B_3,0.5
166,B_17,B_4,0.7
167,B_17,B_5,0.2
168,B_17,B_6,0.30000000000000004
169,B_17,B_7,0.1
170,B_17,B_9,0.2
171,B_18,B_12,0.1
172,B_18,B_13,0.2
173,B_18,B_18,3.6
174,B_19,B_0,0.1
175,B_19,B_1,0.2
176,B_19,B_11,2.600000000000001
177,B_19,B_12,4.100000000000001
178,B_19,B_13,13.199999999999976
179,B_19,B_15,69.20000000000037
180,B_19,B_16,50.5000000000004
181,B_19,B_17,21.100000000000023
182,B_19,B_19,74.70000000000022
183,B_19,B_20,54.90000000000035
184,B_19,B_21,7.9999999999999885
