,s_region,e_region,index
0,C_0,C_0,48.80000000000038
1,C_0,C_1,55.700000000000465
2,C_0,C_10,0.2
3,C_0,C_111,0.4
4,C_0,C_112,0.1
5,C_0,C_114,0.30000000000000004
6,C_0,C_2,1.6000000000000003
7,C_0,C_24,0.1
8,C_0,C_34,0.1
9,C_0,C_4,1.8000000000000005
10,C_0,C_45,0.1
11,C_0,C_53,0.2
12,C_0,C_57,0.1
13,C_0,C_60,0.1
14,C_0,C_61,0.2
15,C_0,C_68,0.1
16,C_0,C_69,0.5
17,C_0,C_70,0.30000000000000004
18,C_0,C_73,0.2
19,C_0,C_77,0.1
20,C_0,C_96,0.2
21,C_1,C_0,55.80000000000048
22,C_1,C_1,38.20000000000023
23,C_1,C_10,0.1
24,C_1,C_100,0.1
25,C_1,C_114,0.1
26,C_1,C_2,5.299999999999997
27,C_1,C_34,0.1
28,C_1,C_4,0.4
29,C_1,C_60,0.1
30,C_1,C_61,0.1
31,C_1,C_70,0.2
32,C_1,C_77,0.1
33,C_1,C_81,0.1
34,C_10,C_0,0.30000000000000004
35,C_10,C_10,141.89999999999716
36,C_10,C_105,0.2
37,C_10,C_110,0.1
38,C_10,C_12,0.4
39,C_10,C_15,0.1
40,C_10,C_17,0.2
41,C_10,C_18,0.1
42,C_10,C_20,0.2
43,C_10,C_22,0.30000000000000004
44,C_10,C_23,0.1
45,C_10,C_24,0.2
46,C_10,C_25,0.1
47,C_10,C_27,0.30000000000000004
48,C_10,C_28,0.1
49,C_10,C_31,0.1
50,C_10,C_32,0.5
51,C_10,C_33,0.8999999999999999
52,C_10,C_34,0.30000000000000004
53,C_10,C_37,0.1
54,C_10,C_38,0.1
55,C_10,C_4,0.1
56,C_10,C_42,0.1
57,C_10,C_52,0.30000000000000004
58,C_10,C_57,0.1
59,C_10,C_59,0.1
60,C_10,C_60,0.1
61,C_10,C_63,0.1
62,C_10,C_68,0.1
63,C_10,C_69,0.30000000000000004
64,C_10,C_70,0.1
65,C_10,C_83,0.1
66,C_100,C_100,312.90000000000117
67,C_100,C_101,178.0999999999947
68,C_100,C_102,37.70000000000023
69,C_100,C_103,7.49999999999999
70,C_100,C_105,156.99999999999628
71,C_100,C_106,105.99999999999858
72,C_100,C_107,62.200000000000564
73,C_100,C_108,35.1000000000002
74,C_100,C_109,6.499999999999995
75,C_100,C_110,1.3
76,C_100,C_111,22.700000000000042
77,C_100,C_112,15.099999999999964
78,C_100,C_113,4.4
79,C_100,C_114,0.6
80,C_100,C_115,5.199999999999998
81,C_100,C_116,4.999999999999999
82,C_100,C_117,0.4
83,C_100,C_12,0.1
84,C_100,C_122,0.1
85,C_100,C_129,0.1
86,C_100,C_132,0.2
87,C_100,C_133,0.1
88,C_100,C_28,0.30000000000000004
89,C_100,C_29,0.1
90,C_100,C_34,0.1
91,C_100,C_37,0.1
92,C_100,C_4,0.1
93,C_100,C_45,3.1000000000000014
94,C_100,C_48,0.1
95,C_100,C_49,0.7
96,C_100,C_51,0.30000000000000004
97,C_100,C_53,0.8999999999999999
98,C_100,C_54,0.1
99,C_100,C_55,0.6
100,C_100,C_57,0.7999999999999999
101,C_100,C_58,0.30000000000000004
102,C_100,C_59,0.8999999999999999
103,C_100,C_6,0.1
104,C_100,C_60,1.2
105,C_100,C_61,0.4
106,C_100,C_63,1.2
107,C_100,C_64,0.4
108,C_100,C_66,0.5
109,C_100,C_67,0.30000000000000004
110,C_100,C_68,0.9
111,C_100,C_69,5.599999999999997
112,C_100,C_70,4.200000000000001
113,C_100,C_73,0.5
