,s_region,e_region,index
0,D_0,D_0,107.3999999999986
1,D_0,D_1,28.0000000000001
2,D_0,D_10,0.30000000000000004
3,D_0,D_11,0.9999999999999999
4,D_0,D_12,0.4
5,D_0,D_13,2.9000000000000012
6,D_0,D_14,0.30000000000000004
7,D_0,D_16,0.5
8,D_0,D_17,0.2
9,D_0,D_2,0.7
10,D_0,D_27,0.2
11,D_0,D_3,0.1
12,D_0,D_35,0.1
13,D_0,D_4,0.1
14,D_0,D_43,0.1
15,D_0,D_45,0.4
16,D_0,D_46,0.30000000000000004
17,D_0,D_5,0.1
18,D_0,D_56,0.1
19,D_0,D_6,1.4000000000000004
20,D_0,D_7,0.30000000000000004
21,D_0,D_8,1.8000000000000005
22,D_0,D_9,0.4
23,D_1,D_0,28.600000000000126
24,D_1,D_1,12.299999999999981
25,D_1,D_11,0.1
26,D_1,D_13,2.800000000000001
27,D_1,D_14,0.1
28,D_1,D_15,0.1
29,D_1,D_2,0.1
30,D_1,D_27,1.0999999999999999
31,D_1,D_3,0.1
32,D_1,D_4,0.30000000000000004
33,D_1,D_6,0.1
34,D_1,D_8,0.2
35,D_10,D_1,0.1
36,D_10,D_10,41.30000000000015
37,D_10,D_11,3.5000000000000018
38,D_10,D_12,4.799999999999999
39,D_10,D_13,6.899999999999994
40,D_10,D_14,19.0
41,D_10,D_15,0.30000000000000004
42,D_10,D_16,2.9000000000000012
43,D_10,D_17,2.0000000000000004
44,D_10,D_18,0.30000000000000004
45,D_10,D_19,0.1
46,D_10,D_2,0.5
47,D_10,D_20,0.5
48,D_10,D_22,0.1
49,D_10,D_26,0.2
50,D_10,D_3,0.5
51,D_10,D_38,0.2
52,D_10,D_4,0.7
53,D_10,D_43,0.1
54,D_10,D_44,0.2
55,D_10,D_5,0.7000000000000001
56,D_10,D_55,0.2
57,D_10,D_56,0.1
58,D_10,D_57,0.5
59,D_10,D_6,1.5000000000000002
60,D_10,D_7,7.099999999999996
61,D_10,D_8,12.699999999999973
62,D_10,D_9,61.20000000000047
63,D_11,D_0,0.7999999999999999
64,D_11,D_1,0.1
65,D_11,D_10,4.200000000000001
66,D_11,D_11,252.69999999999072
67,D_11,D_12,82.69999999999966
68,D_11,D_13,72.70000000000014
69,D_11,D_14,28.10000000000011
70,D_11,D_15,34.30000000000017
71,D_11,D_16,10.39999999999998
72,D_11,D_17,14.899999999999967
73,D_11,D_18,1.2
74,D_11,D_19,0.8999999999999999
75,D_11,D_2,12.699999999999973
76,D_11,D_20,1.8000000000000005
77,D_11,D_21,0.2
78,D_11,D_22,0.1
79,D_11,D_23,0.30000000000000004
80,D_11,D_24,1.4000000000000001
81,D_11,D_27,0.4
82,D_11,D_28,0.30000000000000004
83,D_11,D_3,8.39999999999999
84,D_11,D_31,0.30000000000000004
85,D_11,D_33,0.1
86,D_11,D_34,0.1
87,D_11,D_35,0.1
88,D_11,D_36,0.2
89,D_11,D_37,0.30000000000000004
90,D_11,D_38,0.6
91,D_11,D_39,0.6
92,D_11,D_4,11.09999999999998
93,D_11,D_40,0.30000000000000004
94,D_11,D_43,0.4
95,D_11,D_44,0.4
96,D_11,D_45,0.2
97,D_11,D_47,0.1
98,D_11,D_48,0.8999999999999999
99,D_11,D_49,0.2
100,D_11,D_5,12.999999999999973
101,D_11,D_50,0.8999999999999999
102,D_11,D_53,0.7999999999999999
103,D_11,D_54,0.2
104,D_11,D_55,0.2
105,D_11,D_56,0.6
106,D_11,D_57,0.1
107,D_11,D_59,0.5
108,D_11,D_6,58.20000000000052
109,D_11,D_65,0.1
110,D_11,D_7,3.3000000000000016
111,D_11,D_71,0.1
112,D_11,D_8,78.49999999999984
113,D_11,D_9,31.400000000000134
114,D_12,D_0,0.2
115,D_12,D_10,3.700000000000002
116,D_12,D_11,86.8999999999995
117,D_12,D_12,39.70000000000027
118,D_12,D_13,74.40000000000013
119,D_12,D_14,30.40000000000014
120,D_12,D_15,7.199999999999993
121,D_12,D_16,7.799999999999991
122,D_12,D_17,7.49999999999999
123,D_12,D_18,0.8999999999999999
124,D_12,D_19,0.8999999999999999
125,D_12,D_2,4.300000000000001
126,D_12,D_20,0.6
127,D_12,D_21,0.30000000000000004
128,D_12,D_22,0.1
129,D_12,D_23,0.2
130,D_12,D_24,0.30000000000000004
131,D_12,D_25,0.4
132,D_12,D_27,0.4
133,D_12,D_28,0.1
134,D_12,D_3,2.7000000000000015
135,D_12,D_32,0.2
136,D_12,D_36,0.2
137,D_12,D_37,0.2
138,D_12,D_38,0.7
139,D_12,D_39,0.4
140,D_12,D_4,3.3000000000000016
141,D_12,D_40,0.1
142,D_12,D_41,0.30000000000000004
143,D_12,D_44,0.1
144,D_12,D_45,0.1
145,D_12,D_47,0.4
146,D_12,D_48,0.7999999999999999
147,D_12,D_49,0.1
148,D_12,D_5,5.099999999999999
149,D_12,D_50,0.1
150,D_12,D_51,0.1
151,D_12,D_53,0.4
152,D_12,D_59,0.2
153,D_12,D_6,21.00000000000002
154,D_12,D_7,2.000000000000001
155,D_12,D_70,0.1
156,D_12,D_8,83.69999999999978
157,D_12,D_9,30.700000000000156
158,D_13,D_0,3.1000000000000014
159,D_13,D_1,2.8000000000000007
160,D_13,D_10,8.799999999999988
161,D_13,D_11,83.19999999999973
162,D_13,D_12,75.80000000000004
163,D_13,D_13,151.09999999999667
164,D_13,D_14,72.60000000000022
165,D_13,D_15,6.599999999999996
166,D_13,D_16,22.900000000000045
167,D_13,D_17,20.900000000000027
168,D_13,D_18,2.400000000000001
169,D_13,D_19,2.500000000000001
170,D_13,D_2,7.499999999999992
171,D_13,D_20,3.300000000000001
172,D_13,D_21,0.4
173,D_13,D_22,0.5
174,D_13,D_23,0.9999999999999999
175,D_13,D_24,2.0000000000000004
176,D_13,D_25,0.1
177,D_13,D_27,0.9999999999999999
178,D_13,D_28,0.2
179,D_13,D_29,0.2
180,D_13,D_3,4.799999999999999
181,D_13,D_31,0.1
182,D_13,D_32,0.2
183,D_13,D_34,0.30000000000000004
184,D_13,D_35,0.1
185,D_13,D_37,0.6
186,D_13,D_38,1.0999999999999999
187,D_13,D_39,0.7999999999999999
188,D_13,D_4,4.400000000000001
189,D_13,D_43,0.7
190,D_13,D_44,0.4
191,D_13,D_45,0.30000000000000004
192,D_13,D_47,0.4
193,D_13,D_48,0.8999999999999999
194,D_13,D_49,0.2
195,D_13,D_5,7.299999999999993
196,D_13,D_50,0.30000000000000004
197,D_13,D_51,0.2
198,D_13,D_53,0.4
199,D_13,D_56,0.4
200,D_13,D_57,0.2
201,D_13,D_58,0.2
202,D_13,D_59,0.2
203,D_13,D_6,24.800000000000047
204,D_13,D_65,0.1
205,D_13,D_66,0.2
206,D_13,D_67,0.2
207,D_13,D_69,0.1
208,D_13,D_7,4.799999999999999
209,D_13,D_71,0.1
210,D_13,D_73,0.1
211,D_13,D_8,164.89999999999566
212,D_13,D_9,55.50000000000048
213,D_14,D_0,0.4
214,D_14,D_1,0.2
215,D_14,D_10,21.700000000000035
216,D_14,D_11,31.20000000000016
217,D_14,D_12,28.60000000000013
218,D_14,D_13,73.8000000000001
219,D_14,D_14,145.29999999999654
220,D_14,D_15,4.5
221,D_14,D_16,42.10000000000031
222,D_14,D_17,24.50000000000006
223,D_14,D_18,0.8999999999999999
