,s_region,e_region,index
0,F_0,F_0,65.50000000000047
1,F_0,F_1,0.5
2,F_0,F_104,0.1
3,F_0,F_105,0.1
4,F_0,F_106,0.1
5,F_0,F_108,0.1
6,F_0,F_109,0.1
7,F_0,F_11,0.6
8,F_0,F_112,0.1
9,F_0,F_114,0.1
10,F_0,F_115,0.30000000000000004
11,F_0,F_119,0.30000000000000004
12,F_0,F_122,0.4
13,F_0,F_123,0.30000000000000004
14,F_0,F_124,0.1
15,F_0,F_128,0.1
16,F_0,F_129,0.1
17,F_0,F_13,0.1
18,F_0,F_130,0.1
19,F_0,F_131,0.30000000000000004
20,F_0,F_132,0.2
21,F_0,F_133,0.1
22,F_0,F_134,0.6
23,F_0,F_135,0.2
24,F_0,F_14,0.6
25,F_0,F_143,0.6
26,F_0,F_144,0.2
27,F_0,F_145,0.30000000000000004
28,F_0,F_146,0.4
29,F_0,F_147,0.2
30,F_0,F_148,0.7999999999999999
31,F_0,F_149,0.30000000000000004
32,F_0,F_15,0.2
33,F_0,F_162,0.2
34,F_0,F_164,0.1
35,F_0,F_165,0.2
36,F_0,F_168,0.1
37,F_0,F_169,0.1
38,F_0,F_170,0.1
39,F_0,F_173,0.1
40,F_0,F_175,0.4
41,F_0,F_178,0.1
42,F_0,F_179,0.2
43,F_0,F_183,0.1
44,F_0,F_185,0.1
45,F_0,F_187,0.1
46,F_0,F_19,0.1
47,F_0,F_191,0.1
48,F_0,F_192,0.1
49,F_0,F_194,0.2
50,F_0,F_195,0.2
51,F_0,F_198,0.1
52,F_0,F_2,104.19999999999887
53,F_0,F_20,1.2000000000000002
54,F_0,F_209,0.30000000000000004
55,F_0,F_21,0.7999999999999999
56,F_0,F_210,0.4
57,F_0,F_211,0.1
58,F_0,F_215,0.1
59,F_0,F_219,0.1
60,F_0,F_22,0.2
61,F_0,F_221,0.1
62,F_0,F_226,0.1
63,F_0,F_228,0.1
64,F_0,F_229,0.1
65,F_0,F_23,0.1
66,F_0,F_232,0.1
67,F_0,F_238,0.1
68,F_0,F_24,0.1
69,F_0,F_251,0.1
70,F_0,F_256,0.1
71,F_0,F_268,0.1
72,F_0,F_27,0.6
73,F_0,F_277,0.1
74,F_0,F_28,0.30000000000000004
75,F_0,F_29,0.2
76,F_0,F_3,68.60000000000042
77,F_0,F_30,0.1
78,F_0,F_305,0.1
79,F_0,F_31,0.1
80,F_0,F_34,0.1
81,F_0,F_39,0.1
82,F_0,F_4,0.6
83,F_0,F_46,0.1
84,F_0,F_5,0.7
85,F_0,F_51,0.1
86,F_0,F_6,0.6
87,F_0,F_68,0.1
88,F_0,F_69,0.4
89,F_0,F_7,0.1
90,F_0,F_75,0.1
91,F_0,F_8,10.399999999999983
92,F_0,F_81,0.30000000000000004
93,F_0,F_84,0.1
94,F_0,F_85,0.4
95,F_0,F_88,0.1
96,F_0,F_9,6.299999999999994
97,F_0,F_91,0.1
98,F_0,F_95,0.2
99,F_0,F_96,0.1
100,F_1,F_0,0.5
101,F_1,F_1,239.49999999999162
102,F_1,F_10,4.6000000000000005
103,F_1,F_106,0.1
104,F_1,F_107,0.1
105,F_1,F_108,0.1
106,F_1,F_11,3.900000000000002
107,F_1,F_112,0.1
108,F_1,F_118,0.1
109,F_1,F_119,0.30000000000000004
110,F_1,F_12,1.7000000000000002
111,F_1,F_122,0.1
112,F_1,F_127,0.1
113,F_1,F_13,1.0999999999999999
114,F_1,F_134,0.5
115,F_1,F_14,7.999999999999993
116,F_1,F_143,0.1
117,F_1,F_145,0.1
118,F_1,F_147,0.2
119,F_1,F_15,5.099999999999998
120,F_1,F_16,2.500000000000001
121,F_1,F_162,0.1
122,F_1,F_168,0.30000000000000004
123,F_1,F_17,0.7
124,F_1,F_171,0.1
125,F_1,F_175,0.1
126,F_1,F_177,0.1
127,F_1,F_178,0.2
128,F_1,F_18,0.5
129,F_1,F_19,0.30000000000000004
130,F_1,F_193,0.1
131,F_1,F_194,0.1
132,F_1,F_2,0.30000000000000004
133,F_1,F_20,2.2000000000000006
134,F_1,F_200,0.1
135,F_1,F_208,0.1
136,F_1,F_21,8.59999999999999
137,F_1,F_218,0.1
138,F_1,F_22,6.099999999999996
139,F_1,F_228,0.1
140,F_1,F_23,2.600000000000001
141,F_1,F_24,1.4000000000000001
142,F_1,F_25,0.4
143,F_1,F_26,0.6
144,F_1,F_27,2.400000000000001
145,F_1,F_274,0.1
146,F_1,F_28,1.5000000000000002
147,F_1,F_284,0.4
148,F_1,F_29,1.7000000000000004
149,F_1,F_3,1.3000000000000003
150,F_1,F_30,0.8999999999999999
151,F_1,F_31,0.5
152,F_1,F_32,0.30000000000000004
153,F_1,F_330,0.1
154,F_1,F_34,0.7999999999999999
155,F_1,F_35,0.6
156,F_1,F_36,0.4
157,F_1,F_37,1.2
158,F_1,F_38,0.2
159,F_1,F_39,0.7
160,F_1,F_4,7.0999999999999925
161,F_1,F_40,0.2
162,F_1,F_41,0.1
163,F_1,F_42,0.1
164,F_1,F_44,0.1
165,F_1,F_49,0.1
166,F_1,F_5,46.60000000000037
167,F_1,F_51,0.2
168,F_1,F_52,0.2
169,F_1,F_55,0.1
170,F_1,F_6,157.699999999996
171,F_1,F_61,0.2
172,F_1,F_62,0.1
