,s_region,e_region,index
0,G_0,G_0,71.9000000000002
1,G_0,G_11,0.2
2,G_0,G_17,0.2
3,G_0,G_21,0.1
4,G_0,G_24,0.1
5,G_0,G_25,0.1
6,G_0,G_27,0.2
7,G_0,G_3,2.6000000000000014
8,G_0,G_4,5.399999999999998
9,G_0,G_5,0.1
10,G_0,G_6,0.5
11,G_0,G_8,0.30000000000000004
12,G_0,G_9,0.30000000000000004
13,G_1,G_1,18.499999999999993
14,G_1,G_10,0.2
15,G_1,G_11,0.9999999999999999
16,G_1,G_12,0.1
17,G_1,G_13,0.1
18,G_1,G_14,0.30000000000000004
19,G_1,G_2,1.9000000000000006
20,G_1,G_20,0.1
21,G_1,G_21,0.1
22,G_1,G_24,0.1
23,G_1,G_5,0.4
24,G_1,G_6,1.3
25,G_1,G_7,0.30000000000000004
26,G_1,G_8,1.2
27,G_1,G_9,1.0999999999999999
28,G_10,G_10,1.3
29,G_10,G_11,2.9000000000000012
30,G_10,G_12,0.30000000000000004
31,G_10,G_14,0.1
32,G_10,G_15,0.1
33,G_10,G_18,0.2
34,G_10,G_19,0.1
35,G_10,G_23,0.1
36,G_10,G_24,0.6000000000000001
37,G_10,G_5,0.7
38,G_10,G_6,3.800000000000002
39,G_10,G_7,3.5000000000000018
40,G_10,G_8,6.599999999999994
41,G_10,G_9,17.699999999999985
42,G_11,G_0,0.2
43,G_11,G_1,1.3
44,G_11,G_10,2.9000000000000012
45,G_11,G_11,14.599999999999966
46,G_11,G_12,8.799999999999994
47,G_11,G_13,1.7000000000000002
48,G_11,G_14,0.7
49,G_11,G_15,0.1
50,G_11,G_17,0.30000000000000004
51,G_11,G_18,0.5
52,G_11,G_19,0.4
53,G_11,G_21,0.4
54,G_11,G_22,0.1
55,G_11,G_23,0.5
56,G_11,G_24,0.4
57,G_11,G_25,0.2
58,G_11,G_34,0.1
59,G_11,G_35,0.30000000000000004
60,G_11,G_4,0.1
61,G_11,G_5,3.3000000000000016
62,G_11,G_6,19.700000000000003
63,G_11,G_7,9.099999999999987
64,G_11,G_8,51.800000000000374
65,G_11,G_9,100.69999999999932
66,G_12,G_1,0.1
67,G_12,G_10,0.5
68,G_12,G_11,8.599999999999994
69,G_12,G_12,7.4999999999999964
70,G_12,G_13,0.30000000000000004
71,G_12,G_14,0.1
72,G_12,G_18,0.1
73,G_12,G_2,0.1
74,G_12,G_24,0.1
75,G_12,G_25,0.1
76,G_12,G_5,0.4
77,G_12,G_6,1.8000000000000005
78,G_12,G_7,0.7999999999999999
79,G_12,G_8,5.399999999999997
80,G_12,G_9,10.399999999999983
81,G_13,G_1,0.2
82,G_13,G_10,0.1
83,G_13,G_11,2.0000000000000004
84,G_13,G_12,0.30000000000000004
85,G_13,G_13,8.599999999999989
86,G_13,G_14,6.199999999999997
87,G_13,G_18,0.1
88,G_13,G_19,0.1
89,G_13,G_20,0.1
90,G_13,G_22,0.1
91,G_13,G_23,0.2
92,G_13,G_24,0.1
93,G_13,G_35,0.1
94,G_13,G_5,0.1
95,G_13,G_6,1.3
96,G_13,G_7,0.30000000000000004
97,G_13,G_8,3.4000000000000017
98,G_13,G_9,3.5000000000000018
99,G_14,G_1,0.2
100,G_14,G_11,0.5
101,G_14,G_12,0.1
102,G_14,G_13,5.9999999999999964
103,G_14,G_14,9.399999999999986
104,G_14,G_19,0.2
105,G_14,G_27,0.2
106,G_14,G_6,0.4
107,G_14,G_7,0.1
108,G_14,G_8,1.7000000000000004
109,G_14,G_9,2.0000000000000004
110,G_15,G_10,0.1
111,G_15,G_11,0.1
112,G_15,G_15,0.2
113,G_15,G_8,0.1
114,G_16,G_11,0.1
115,G_16,G_35,0.1
116,G_16,G_7,0.1
117,G_16,G_8,0.1
118,G_16,G_9,0.1
119,G_17,G_11,0.5
120,G_17,G_17,252.99999999999056
121,G_17,G_20,0.2
122,G_17,G_21,0.30000000000000004
123,G_17,G_22,0.4
124,G_17,G_23,3.4000000000000017
125,G_17,G_24,0.4
126,G_17,G_25,0.2
127,G_17,G_27,0.4
128,G_17,G_28,0.30000000000000004
129,G_17,G_34,0.1
130,G_17,G_35,0.5
131,G_17,G_4,0.4
132,G_17,G_5,0.30000000000000004
133,G_17,G_6,0.4
134,G_17,G_7,0.1
135,G_17,G_8,0.7
136,G_17,G_9,1.5000000000000002
137,G_18,G_10,0.1
138,G_18,G_11,0.8999999999999999
139,G_18,G_12,0.1
140,G_18,G_13,0.2
141,G_18,G_18,9.899999999999988
142,G_18,G_19,0.1
143,G_18,G_21,0.1
144,G_18,G_24,0.1
145,G_18,G_25,0.2
146,G_18,G_4,0.1
147,G_18,G_6,0.7
148,G_18,G_7,0.30000000000000004
149,G_18,G_8,1.2999999999999998
150,G_18,G_9,2.3000000000000007
151,G_19,G_11,0.2
152,G_19,G_14,0.4
153,G_19,G_19,31.100000000000072
154,G_19,G_20,1.2
155,G_19,G_21,0.5
156,G_19,G_22,0.1
157,G_19,G_23,0.30000000000000004
158,G_19,G_25,0.2
159,G_19,G_27,0.1
160,G_19,G_6,0.4
161,G_19,G_7,0.7999999999999999
162,G_19,G_8,0.4
163,G_19,G_9,0.6
164,G_2,G_1,1.6000000000000003
165,G_2,G_11,0.1
166,G_2,G_2,1.6000000000000003
167,G_2,G_23,0.1
168,G_2,G_6,0.1
169,G_2,G_7,0.1
