,s_region,e_region,index
0,H_0,H_0,25.100000000000044
1,H_0,H_1,4.000000000000003
2,H_0,H_10,0.1
3,H_0,H_11,0.1
4,H_0,H_2,0.6
5,H_0,H_21,0.2
6,H_0,H_34,0.2
7,H_0,H_4,0.7
8,H_0,H_5,0.7
9,H_0,H_6,0.5
10,H_0,H_7,0.6
11,H_0,H_8,0.4
12,H_0,H_9,1.6000000000000003
13,H_1,H_0,3.700000000000002
14,H_1,H_1,103.99999999999912
15,H_1,H_10,0.7999999999999999
16,H_1,H_11,0.8999999999999999
17,H_1,H_15,0.1
18,H_1,H_2,23.00000000000005
19,H_1,H_4,5.9999999999999964
20,H_1,H_5,2.500000000000001
21,H_1,H_6,5.899999999999996
22,H_1,H_7,6.399999999999994
23,H_1,H_8,6.999999999999992
24,H_1,H_9,6.199999999999996
25,H_10,H_0,0.1
26,H_10,H_1,1.3
27,H_10,H_10,37.900000000000084
28,H_10,H_11,6.499999999999994
29,H_10,H_16,0.2
30,H_10,H_2,0.30000000000000004
31,H_10,H_4,12.499999999999977
32,H_10,H_47,0.1
33,H_10,H_5,4.4
34,H_10,H_51,0.1
35,H_10,H_6,12.799999999999976
36,H_10,H_7,21.100000000000023
37,H_10,H_8,11.499999999999977
38,H_10,H_9,43.20000000000033
39,H_11,H_0,0.2
40,H_11,H_1,1.0
41,H_11,H_10,5.299999999999997
42,H_11,H_11,29.400000000000137
43,H_11,H_16,0.1
44,H_11,H_25,0.1
45,H_11,H_3,0.1
46,H_11,H_39,0.1
47,H_11,H_4,8.799999999999986
48,H_11,H_5,7.999999999999989
49,H_11,H_6,11.699999999999974
50,H_11,H_7,10.79999999999998
51,H_11,H_8,30.400000000000116
52,H_11,H_9,44.10000000000031
53,H_12,H_12,79.69999999999985
54,H_12,H_13,2.2000000000000006
55,H_12,H_14,79.7999999999999
56,H_12,H_15,2.1000000000000005
57,H_12,H_16,3.100000000000001
58,H_12,H_17,3.4000000000000017
59,H_12,H_18,2.700000000000001
60,H_12,H_19,0.30000000000000004
61,H_12,H_20,0.2
62,H_12,H_21,0.6
63,H_12,H_22,2.0000000000000004
64,H_12,H_23,2.800000000000001
65,H_12,H_24,0.4
66,H_12,H_25,0.1
67,H_12,H_26,0.2
68,H_12,H_27,0.1
69,H_12,H_28,0.2
70,H_12,H_29,0.1
71,H_12,H_30,0.1
72,H_12,H_31,0.1
73,H_12,H_32,0.30000000000000004
74,H_12,H_33,0.1
75,H_12,H_34,1.4000000000000001
76,H_12,H_37,0.1
77,H_12,H_4,0.6
78,H_12,H_48,0.1
79,H_12,H_6,0.1
80,H_12,H_7,0.1
81,H_12,H_8,0.2
82,H_12,H_9,0.4
83,H_13,H_12,2.0000000000000004
84,H_13,H_13,161.39999999999665
85,H_13,H_14,2.500000000000001
86,H_13,H_15,0.1
87,H_13,H_16,0.7000000000000001
88,H_13,H_17,0.7999999999999999
89,H_13,H_18,0.5
90,H_13,H_19,0.2
91,H_13,H_21,0.30000000000000004
92,H_13,H_22,0.8999999999999999
93,H_13,H_23,1.7000000000000004
94,H_13,H_24,0.2
95,H_13,H_25,0.5
96,H_13,H_27,0.7
97,H_13,H_28,0.1
98,H_13,H_34,2.9000000000000012
99,H_13,H_45,0.1
100,H_13,H_7,0.1
101,H_14,H_12,78.29999999999994
102,H_14,H_13,2.600000000000001
103,H_14,H_14,128.5999999999978
104,H_14,H_15,1.2000000000000002
105,H_14,H_16,2.1
106,H_14,H_17,4.699999999999999
107,H_14,H_18,3.3000000000000016
108,H_14,H_19,1.0999999999999999
109,H_14,H_20,0.9999999999999999
110,H_14,H_21,0.2
111,H_14,H_22,2.700000000000001
112,H_14,H_23,1.3
113,H_14,H_24,0.8999999999999999
114,H_14,H_25,1.2
115,H_14,H_26,0.2
116,H_14,H_27,2.0000000000000004
117,H_14,H_28,0.2
118,H_14,H_32,0.4
119,H_14,H_34,1.6000000000000003
120,H_14,H_35,0.2
121,H_14,H_38,0.1
122,H_14,H_6,0.1
123,H_15,H_12,2.400000000000001
124,H_15,H_13,0.1
125,H_15,H_14,1.4000000000000001
126,H_15,H_15,58.90000000000052
127,H_15,H_16,83.89999999999968
128,H_15,H_17,54.300000000000466
129,H_15,H_18,21.50000000000003
130,H_15,H_19,2.500000000000001
131,H_15,H_20,3.1000000000000014
132,H_15,H_21,6.499999999999993
133,H_15,H_22,4.200000000000001
134,H_15,H_23,5.099999999999999
135,H_15,H_24,0.7999999999999999
136,H_15,H_25,1.7000000000000004
137,H_15,H_26,1.4000000000000004
138,H_15,H_27,0.6
139,H_15,H_28,0.2
140,H_15,H_29,0.4
141,H_15,H_30,1.6
142,H_15,H_31,0.2
143,H_15,H_32,0.1
144,H_15,H_34,0.5
145,H_15,H_35,0.1
146,H_15,H_4,0.1
147,H_15,H_40,0.1
148,H_15,H_43,0.1
149,H_15,H_44,0.1
150,H_15,H_47,0.2
151,H_15,H_49,0.1
152,H_15,H_5,0.1
153,H_15,H_6,0.1
154,H_15,H_7,0.2
155,H_15,H_8,0.1
156,H_15,H_9,0.4
157,H_16,H_10,0.2
158,H_16,H_12,2.600000000000001
159,H_16,H_13,0.30000000000000004
160,H_16,H_14,1.8000000000000007
161,H_16,H_15,88.7999999999995
162,H_16,H_16,149.89999999999642
163,H_16,H_17,110.29999999999849
164,H_16,H_18,22.90000000000004
165,H_16,H_19,4.300000000000002
166,H_16,H_20,10.199999999999982
167,H_16,H_21,12.099999999999984
168,H_16,H_22,7.799999999999991
169,H_16,H_23,8.799999999999988
170,H_16,H_24,2.4000000000000012
171,H_16,H_25,1.6000000000000005
172,H_16,H_26,2.700000000000001
173,H_16,H_27,0.7999999999999999
174,H_16,H_28,0.1
175,H_16,H_29,0.1
176,H_16,H_30,2.9000000000000012
177,H_16,H_32,0.9999999999999999
178,H_16,H_33,0.1
179,H_16,H_34,0.5
180,H_16,H_36,0.6
181,H_16,H_39,0.2
182,H_16,H_4,0.30000000000000004
183,H_16,H_40,0.2
184,H_16,H_43,0.1
185,H_16,H_44,0.7
186,H_16,H_45,0.1
187,H_16,H_46,0.1
188,H_16,H_47,0.30000000000000004
189,H_16,H_48,0.30000000000000004
190,H_16,H_49,0.30000000000000004
191,H_16,H_5,0.1
192,H_16,H_50,0.1
193,H_16,H_6,0.30000000000000004
194,H_16,H_7,0.6
195,H_16,H_8,0.7999999999999999
196,H_16,H_9,0.4
197,H_17,H_0,0.1
198,H_17,H_1,0.1
199,H_17,H_10,0.1
200,H_17,H_12,3.1000000000000014
201,H_17,H_13,0.4
202,H_17,H_14,3.700000000000002
203,H_17,H_15,58.50000000000052
204,H_17,H_16,112.6999999999984
205,H_17,H_17,125.19999999999784
206,H_17,H_18,68.5000000000004
207,H_17,H_19,7.099999999999991
208,H_17,H_20,4.100000000000001
209,H_17,H_21,17.39999999999998
210,H_17,H_22,11.799999999999978
211,H_17,H_23,12.799999999999976
212,H_17,H_24,2.3000000000000007
213,H_17,H_25,2.1000000000000005
214,H_17,H_26,2.3000000000000007
215,H_17,H_27,1.9000000000000006
216,H_17,H_28,1.4000000000000004
217,H_17,H_29,0.1
218,H_17,H_30,4.899999999999999
219,H_17,H_31,0.1
220,H_17,H_32,1.5000000000000002
221,H_17,H_33,0.30000000000000004
222,H_17,H_34,0.7
223,H_17,H_35,0.1
224,H_17,H_36,0.30000000000000004
225,H_17,H_38,0.4
226,H_17,H_39,0.7
227,H_17,H_4,0.4
228,H_17,H_43,0.2
229,H_17,H_44,1.2
230,H_17,H_47,0.30000000000000004
231,H_17,H_49,0.6
232,H_17,H_6,0.1
233,H_17,H_7,0.2
234,H_17,H_8,0.4
235,H_17,H_9,0.5
236,H_18,H_12,2.800000000000001
237,H_18,H_13,0.5
238,H_18,H_14,3.1000000000000014
239,H_18,H_15,22.100000000000033
240,H_18,H_16,26.000000000000068
241,H_18,H_17,72.50000000000011
242,H_18,H_18,49.600000000000385
243,H_18,H_19,17.49999999999999
244,H_18,H_20,1.9000000000000004
245,H_18,H_21,8.499999999999991
246,H_18,H_22,12.099999999999973
247,H_18,H_23,9.299999999999985
248,H_18,H_24,3.4000000000000017
249,H_18,H_25,1.2000000000000002
250,H_18,H_26,0.9999999999999999
251,H_18,H_27,1.8000000000000005
252,H_18,H_28,0.5
253,H_18,H_29,0.5
254,H_18,H_30,1.2
255,H_18,H_31,0.30000000000000004
256,H_18,H_32,0.1
257,H_18,H_34,0.8999999999999999
258,H_18,H_35,0.30000000000000004
259,H_18,H_36,0.1
260,H_18,H_38,0.2
261,H_18,H_39,0.30000000000000004
262,H_18,H_4,0.30000000000000004
263,H_18,H_40,0.1
264,H_18,H_7,0.2
265,H_18,H_8,0.2
266,H_18,H_9,0.2
267,H_19,H_12,0.6
268,H_19,H_14,0.8999999999999999
269,H_19,H_15,2.7000000000000015
270,H_19,H_16,4.400000000000001
271,H_19,H_17,7.69999999999999
272,H_19,H_18,17.59999999999998
273,H_19,H_19,11.399999999999979
274,H_19,H_20,0.4
275,H_19,H_21,2.3000000000000007
276,H_19,H_22,6.099999999999994
277,H_19,H_23,5.799999999999997
278,H_19,H_24,0.4
279,H_19,H_25,1.8000000000000005
280,H_19,H_26,0.4
281,H_19,H_27,0.4
282,H_19,H_28,0.4
283,H_19,H_30,0.1
284,H_19,H_32,0.5
285,H_19,H_34,0.2
286,H_19,H_35,0.1
287,H_19,H_38,0.1
288,H_19,H_44,0.1
289,H_19,H_45,0.1
290,H_19,H_47,0.1
291,H_19,H_8,0.1
292,H_2,H_0,0.5
293,H_2,H_1,21.90000000000004
294,H_2,H_10,0.2
295,H_2,H_2,6.699999999999992
296,H_2,H_3,0.30000000000000004
297,H_2,H_4,0.6
298,H_2,H_5,0.30000000000000004
299,H_2,H_6,0.2
300,H_2,H_7,0.5
301,H_2,H_8,0.8999999999999999
302,H_2,H_9,0.6
303,H_20,H_12,0.2
304,H_20,H_14,1.3
305,H_20,H_15,2.800000000000001
306,H_20,H_16,11.299999999999983
307,H_20,H_17,5.399999999999999
308,H_20,H_18,1.8000000000000005
309,H_20,H_19,0.1
310,H_20,H_20,18.099999999999973
311,H_20,H_21,0.9
312,H_20,H_22,1.7000000000000004
313,H_20,H_23,1.4000000000000001
314,H_20,H_24,0.5
315,H_20,H_25,0.2
316,H_20,H_26,0.7
317,H_20,H_27,0.30000000000000004
318,H_20,H_28,0.1
319,H_20,H_29,0.2
320,H_20,H_30,0.7
321,H_20,H_34,0.4
322,H_20,H_40,0.2
323,H_20,H_43,0.1
324,H_20,H_44,0.30000000000000004
325,H_20,H_48,0.1
326,H_20,H_6,0.1
327,H_21,H_11,0.1
328,H_21,H_12,0.4
329,H_21,H_13,0.1
330,H_21,H_14,0.30000000000000004
331,H_21,H_15,7.499999999999992
332,H_21,H_16,11.299999999999986
333,H_21,H_17,17.599999999999984
334,H_21,H_18,8.599999999999985
335,H_21,H_19,1.6000000000000003
336,H_21,H_20,0.6
337,H_21,H_21,13.199999999999973
338,H_21,H_22,5.999999999999995
339,H_21,H_23,5.099999999999999
340,H_21,H_24,7.999999999999989
341,H_21,H_25,0.4
342,H_21,H_26,0.30000000000000004
343,H_21,H_27,1.3000000000000003
344,H_21,H_28,0.7
345,H_21,H_29,0.1
346,H_21,H_30,1.5000000000000002
347,H_21,H_32,0.9999999999999999
348,H_21,H_34,0.30000000000000004
349,H_21,H_36,0.2
350,H_21,H_38,0.2
351,H_21,H_39,1.8000000000000003
352,H_21,H_4,0.1
353,H_21,H_43,0.1
354,H_21,H_44,0.30000000000000004
355,H_21,H_45,0.1
356,H_21,H_46,0.1
357,H_21,H_47,0.7
358,H_21,H_48,0.2
359,H_21,H_49,0.4
360,H_21,H_5,0.1
361,H_21,H_6,0.2
362,H_21,H_7,0.1
363,H_21,H_8,0.1
364,H_21,H_9,0.2
365,H_22,H_12,2.2
366,H_22,H_13,0.8999999999999999
367,H_22,H_14,2.8000000000000016
368,H_22,H_15,4.4
369,H_22,H_16,8.19999999999999
370,H_22,H_17,10.79999999999998
371,H_22,H_18,12.299999999999974
372,H_22,H_19,6.199999999999994
373,H_22,H_20,2.000000000000001
374,H_22,H_21,5.799999999999997
375,H_22,H_22,118.19999999999814
376,H_22,H_23,149.89999999999648
377,H_22,H_24,9.299999999999985
378,H_22,H_25,24.50000000000007
379,H_22,H_26,0.30000000000000004
380,H_22,H_27,17.699999999999985
381,H_22,H_28,6.399999999999996
382,H_22,H_29,0.1
383,H_22,H_30,2.3000000000000007
384,H_22,H_31,0.2
385,H_22,H_32,4.6
386,H_22,H_33,0.4
387,H_22,H_34,1.8000000000000005
388,H_22,H_35,0.5
389,H_22,H_36,0.4
390,H_22,H_39,0.1
391,H_22,H_4,0.6
392,H_22,H_44,0.1
393,H_22,H_49,0.4
394,H_22,H_8,0.1
395,H_22,H_9,0.2
396,H_23,H_12,2.0000000000000004
397,H_23,H_13,1.2
398,H_23,H_14,1.6000000000000003
399,H_23,H_15,5.699999999999996
400,H_23,H_16,9.299999999999986
401,H_23,H_17,16.199999999999967
402,H_23,H_18,8.69999999999999
403,H_23,H_19,5.799999999999997
404,H_23,H_20,1.5000000000000002
405,H_23,H_21,6.799999999999994
406,H_23,H_22,153.79999999999663
407,H_23,H_23,180.59999999999476
408,H_23,H_24,5.899999999999996
409,H_23,H_25,36.60000000000022
410,H_23,H_26,1.6000000000000003
411,H_23,H_27,18.499999999999993
412,H_23,H_28,7.0999999999999925
413,H_23,H_29,0.30000000000000004
414,H_23,H_30,1.4000000000000001
415,H_23,H_31,0.6
416,H_23,H_32,7.299999999999991
417,H_23,H_33,0.8999999999999999
418,H_23,H_34,4.100000000000001
419,H_23,H_36,0.5
420,H_23,H_37,0.1
421,H_23,H_39,0.4
422,H_23,H_4,0.2
423,H_23,H_40,0.1
424,H_23,H_43,0.1
425,H_23,H_44,0.2
426,H_23,H_45,0.5
427,H_23,H_47,0.1
428,H_23,H_49,0.30000000000000004
429,H_23,H_5,0.7
430,H_23,H_7,0.5
431,H_23,H_8,0.1
432,H_24,H_12,0.6
433,H_24,H_13,0.4
434,H_24,H_14,0.6
435,H_24,H_15,0.7999999999999999
436,H_24,H_16,2.2000000000000006
437,H_24,H_17,2.800000000000001
438,H_24,H_18,3.600000000000002
439,H_24,H_19,0.4
440,H_24,H_20,0.30000000000000004
441,H_24,H_21,8.299999999999994
442,H_24,H_22,8.699999999999992
443,H_24,H_23,6.499999999999993
444,H_24,H_24,50.000000000000384
445,H_24,H_25,1.0999999999999999
446,H_24,H_27,1.2
447,H_24,H_28,0.5
