,s_region,e_region,index
0,K_0,K_0,9.399999999999988
1,K_0,K_18,0.1
2,K_1,K_1,17.99999999999999
3,K_1,K_10,11.29999999999998
4,K_1,K_11,0.9999999999999999
5,K_1,K_12,2.7000000000000015
6,K_1,K_13,4.899999999999999
7,K_1,K_14,3.5000000000000018
8,K_1,K_15,0.1
9,K_1,K_16,4.699999999999999
10,K_1,K_17,0.7
11,K_1,K_18,0.1
12,K_1,K_20,6.499999999999993
13,K_1,K_21,0.9999999999999999
14,K_1,K_22,0.2
15,K_1,K_23,0.2
16,K_1,K_24,0.5
17,K_1,K_25,0.1
18,K_1,K_27,1.9000000000000006
19,K_1,K_28,0.1
20,K_1,K_29,0.2
21,K_1,K_3,12.099999999999977
22,K_1,K_31,0.30000000000000004
23,K_1,K_32,0.1
24,K_1,K_33,0.2
25,K_1,K_34,0.4
26,K_1,K_38,2.3000000000000007
27,K_1,K_39,1.4
28,K_1,K_4,51.200000000000436
29,K_1,K_40,0.7999999999999999
30,K_1,K_46,0.1
31,K_1,K_5,29.90000000000012
32,K_1,K_6,5.1999999999999975
33,K_1,K_9,13.899999999999968
34,K_10,K_1,9.899999999999983
35,K_10,K_10,78.19999999999997
36,K_10,K_11,5.299999999999999
37,K_10,K_12,15.799999999999965
38,K_10,K_13,60.70000000000053
39,K_10,K_14,13.299999999999972
40,K_10,K_15,0.9999999999999999
41,K_10,K_16,35.800000000000196
42,K_10,K_17,3.900000000000002
43,K_10,K_18,1.0999999999999999
44,K_10,K_2,0.1
45,K_10,K_20,52.80000000000042
46,K_10,K_21,4.8999999999999995
47,K_10,K_22,1.0999999999999999
48,K_10,K_23,0.1
49,K_10,K_24,2.1000000000000005
50,K_10,K_25,0.1
51,K_10,K_26,0.2
52,K_10,K_27,5.599999999999996
53,K_10,K_28,0.4
54,K_10,K_29,1.3
55,K_10,K_3,16.099999999999966
56,K_10,K_30,3.800000000000002
57,K_10,K_31,0.7
58,K_10,K_32,0.7
59,K_10,K_33,2.6000000000000014
