city,loc,embedding-1,embedding-2,embedding-3,embedding-4,embedding-5,embedding-6,embedding-7,embedding-8
A,0,0.999997616,1,0.95675689,1,0.997380793,2.34E-08,1.37E-08,1
A,1,1,1,7.23E-08,1,5.30E-06,5.71E-19,0.999955058,1
A,2,1,1,1.42E-16,1,5.54E-14,1.07E-30,1,1
A,3,1,1,2.36E-22,1,9.28E-20,2.75E-36,1,1
A,4,1,1,7.44E-25,1,8.87E-22,0,1,1
A,5,1,1,1.16E-23,1,4.99E-21,1.08E-37,1,1
A,6,1,1,3.12E-22,1,1.60E-19,7.33E-37,1,1
A,7,1,1,1.30E-30,1,5.71E-27,0,1,1
A,8,1,1,1.20E-33,1,7.17E-30,0,1,1
A,9,1,1,5.03E-34,1,7.21E-30,0,1,1
A,10,1,1,3.35E-35,1,5.36E-31,0,1,1
A,11,1,1,1.72E-31,1,7.40E-28,0,1,1
A,12,1,1,9.44E-33,1,3.58E-29,0,1,1
A,13,1,1,2.54E-37,1,5.12E-33,0,1,1
A,14,1,1,3.85E-34,1,2.66E-30,0,1,1
A,15,1,1,1.52E-37,1,1.13E-33,0,1,1
A,16,1,1,1.05E-37,1,1.15E-33,0,1,1
A,17,1,1,3.75E-27,1,1.58E-23,0,1,1
A,18,1,1,0,1,4.83E-37,0,1,1
A,19,1,1,0,1,9.76E-36,0,1,1
A,20,1,1,0,1,3.20E-36,0,1,1
A,21,1,1,2.26E-32,1,2.56E-29,0,1,1
A,22,1,1,1.04E-27,1,4.03E-25,0,1,1
A,23,1,1,9.26E-23,1,2.80E-20,3.62E-36,1,1
A,24,1,1,4.42E-16,1,9.10E-14,1.58E-28,1,1
A,25,1,1,5.46E-24,1,1.31E-20,0,1,1
A,26,1,1,1.30E-32,1,9.78E-29,0,1,1
A,27,1,1,1.22E-25,1,1.34E-22,0,1,1
A,28,1,1,1.50E-33,1,3.53E-30,0,1,1
A,29,1,1,0,1,0,0,1,1
A,30,1,1,0,1,3.63E-38,0,1,1
A,31,1,1,0,1,0,0,1,1
A,32,1,1,1.78E-36,1,7.96E-33,0,1,1
A,33,1,1,4.73E-34,1,6.83E-31,0,1,1
A,34,1,1,5.91E-31,1,3.71E-27,0,1,1
A,35,1,1,2.99E-32,1,1.52E-28,0,1,1
A,36,1,1,2.27E-37,1,1.27E-33,0,1,1
A,37,1,1,5.19E-39,1,3.73E-35,0,1,1
A,38,1,1,0,1,0,0,1,1
A,39,1,1,0,1,0,0,1,1
A,40,1,1,0,1,0,0,1,1
A,41,1,1,0,1,0,0,1,1
A,42,1,1,0,1,3.70E-39,0,1,1
A,43,1,1,0,1,0,0,1,1
A,44,1,1,6.79E-39,1,2.57E-35,0,1,1
A,45,1,1,5.09E-36,1,7.95E-33,0,1,1
A,46,1,1,2.06E-30,1,1.28E-26,0,1,1
A,47,1,1,5.48E-36,1,7.09E-32,0,1,1
A,48,1,1,3.94E-28,1,5.71E-25,0,1,1
A,49,1,1,0,1,0,0,1,1
A,50,1,1,0,1,0,0,1,1
A,51,1,1,0,1,0,0,1,1
A,52,1,1,0,1,0,0,1,1
A,53,1,1,0,1,0,0,1,1
A,54,1,1,0,1,0,0,1,1
A,55,1,1,0,1,0,0,1,1
A,56,1,1,0,1,0,0,1,1
A,57,1,1,0,1,1.56E-37,0,1,1
A,58,1,0.999999523,1.58E-16,1,3.96E-15,9.49E-24,1,1
A,59,1,1,2.45E-21,1,1.20E-18,7.12E-36,1,1
A,60,1,1,2.06E-36,1,1.53E-32,0,1,1
A,61,1,1,1.88E-35,1,2.65E-31,0,1,1
A,62,1,1,0,1,5.94E-37,0,1,1
A,63,1,1,8.49E-34,1,1.07E-30,0,1,1
A,64,1,1,0,1,0,0,1,1
A,65,1,1,0,1,0,0,1,1
A,66,1,1,0,1,0,0,1,1
A,67,1,1,0,1,0,0,1,1
A,68,1,1,0,1,0,0,1,1
A,69,1,1,0,1,0,0,1,1
A,70,1,1,0,1,0,0,1,1
A,71,1,1,0,1,3.52E-37,0,1,1
A,72,1,1,3.98E-33,1,1.91E-30,0,1,1
A,73,1,1,3.58E-30,1,1.08E-26,0,1,1
A,74,1,1,2.54E-28,1,5.32E-25,0,1,1
A,75,1,1,4.09E-38,1,2.73E-34,0,1,1
A,76,1,1,1.70E-30,1,1.09E-27,0,1,1
A,77,1,1,3.44E-32,1,1.49E-29,0,1,1
A,78,1,1,0,1,0,0,1,1
A,79,1,1,0,1,0,0,1,1
A,80,1,1,0,1,0,0,1,1
A,81,1,1,0,1,0,0,1,1
A,82,1,1,0,1,1.70E-36,0,1,1
A,83,1,1,0,1,0,0,1,1
A,84,1,1,0,1,1.26E-38,0,1,1
A,85,1,0.999999046,9.85E-27,1,8.81E-25,9.01E-37,1,1
A,86,1,5.40E-06,2.21E-18,1,1.89E-17,1.84E-20,1,1
A,87,1,1,0,1,0,0,1,1
A,88,1,1,0,1,0,0,1,1
A,89,1,1,0,1,0,0,1,1
A,90,1,1,9.98E-37,1,1.18E-33,0,1,1
A,91,1,1,2.49E-27,1,1.67E-24,0,1,1
A,92,1,1,0,1,0,0,1,1
A,93,1,1,0,1,0,0,1,1
A,94,1,0.999999881,0,1,0,0,1,1
A,95,1,1,3.56E-34,1,3.25E-31,0,1,1
A,96,1,1,7.44E-27,1,7.45E-24,0,1,1
A,97,1,1,2.51E-25,1,1.01E-22,4.22E-39,1,1
A,98,1,1,0,1,0,0,1,1
A,99,1,1,0,1,0,0,1,1
A,100,1,1,3.59E-37,1,2.33E-34,0,1,1
A,101,1,1,0,1,0,0,1,1
A,102,1,0.999999404,0,1,0,0,1,1
A,103,1,0.999842405,6.44E-26,1,3.61E-24,1.86E-34,1,1
A,104,1,1,0,1,0,0,1,1
A,105,1,1,0,1,0,0,1,1
A,106,1,0.999999881,0,1,0,0,1,1
A,107,1,1,0,1,0,0,1,1
A,108,1,1,0,1,0,0,1,1
A,109,1,0.999907613,1.56E-35,1,3.69E-33,0,1,1
A,110,1,0.999999642,5.94E-36,1,2.13E-33,0,1,1
A,111,1,1,0,1,0,0,1,1
A,112,1,1,0,1,0,0,1,1
A,113,1,0.999992251,1.87E-36,1,5.86E-34,0,1,1
A,114,1,1,0,1,0,0,1,1
A,115,1,0.999999881,0,1,0,0,1,1
A,116,1,1,2.74E-32,1,7.65E-30,0,1,1
A,117,1,1,0,1,0,0,1,1
B,0,0.007829172,1,0.999996305,1,0.999999166,0.886275113,7.33E-13,0.335787624
B,1,0.708583117,1,0.998866796,1,0.999758065,0.038197681,1.14E-08,0.993778229
