city,loc,embedding-1,embedding-2,embedding-3,embedding-4,embedding-5,embedding-6,embedding-7,embedding-8
A,0,0,0,2.90773654,4.153048992,8.344994545,0,0,9.037056923
A,1,0,0,2.968195677,4.074837208,8.491502762,0,0,9.168785095
A,2,0,0,2.99571991,4.037992001,8.561286926,0,0,9.23120594
A,3,0,0,2.998304129,4.034479618,8.567966461,0,0,9.237167358
A,4,0,0,3.003410578,4.0275383,8.581171989,0,0,9.248953819
A,5,0,0,2.999540567,4.03279686,8.571167946,0,0,9.240024567
A,6,0,0,2.999999523,4.032178402,8.572342873,0,0,9.241074562
A,7,0,0,3.00594759,4.024078846,8.587758064,0,0,9.254829407
A,8,0,0,3.006363869,4.023510933,8.588839531,0,0,9.255794525
A,9,0,0,3.007201672,4.022367477,8.591017723,0,0,9.25773716
A,10,0,0,3.007138729,4.022453308,8.590853691,0,0,9.257591248
A,11,0,0,3.005781412,4.02430582,8.587325096,0,0,9.254444122
A,12,0,0,3.005548954,4.024623394,8.586720467,0,0,9.253905296
A,13,0,0,3.007395267,4.02210331,8.591520309,0,0,9.258185387
A,14,0,0,3.006473064,4.023361683,8.589123726,0,0,9.256047249
A,15,0,0,3.00668788,4.023068905,8.589680672,0,0,9.256545067
A,16,0,0,3.006912231,4.022762775,8.59026432,0,0,9.257065773
A,17,0,0,3.005988836,4.024022579,8.587864876,0,0,9.254925728
A,18,0,0,3.007510662,4.021945953,8.591820717,0,0,9.258453369
A,19,0,0,3.00726366,4.022283077,8.59117794,0,0,9.257880211
A,20,0,0,3.007199526,4.022370338,8.591012001,0,0,9.257731438
A,21,0,0,3.002373934,4.028954506,8.578474045,0,0,9.246547699
A,22,0,0,2.997766495,4.035224438,8.566545486,0,0,9.235901833
A,23,0,0,2.993070126,4.041611195,8.554395676,0,0,9.225058556
A,24,0,0,2.99243784,4.042384148,8.552952766,0,0,9.223752022
A,25,0,0,3.004995823,4.025377274,8.58528614,0,0,9.252624512
A,26,0,0,3.006886959,4.022796631,8.590199471,0,0,9.257007599
A,27,0,0,3.003359079,4.027607441,8.581039429,0,0,9.248835564
A,28,0,0,3.00535202,4.024891376,8.586210251,0,0,9.25344944
A,29,0,0,3.007867575,4.021458626,8.592748642,0,0,9.259282112
A,30,0,0,3.007495403,4.021966457,8.591780663,0,0,9.258418083
A,31,0,0,3.007382154,4.022120953,8.591486931,0,0,9.258155823
A,32,0,0,3.00606823,4.023914337,8.588070869,0,0,9.255108833
A,33,0,0,3.003948689,4.026806831,8.582562447,0,0,9.250195503
A,34,0,0,3.006593466,4.023197651,8.589436531,0,0,9.256327629
A,35,0,0,3.006558895,4.023244858,8.589346886,0,0,9.25624752
A,36,0,0,3.006669283,4.023094177,8.589632988,0,0,9.256503105
A,37,0,0,3.0068717,4.022817612,8.590159416,0,0,9.256972313
A,38,0,0,3.007772684,4.021587849,8.59250164,0,0,9.259061813
A,39,0,0,3.007898808,4.02141571,8.592829704,0,0,9.259354591
A,40,0,0,3.007779598,4.021578312,8.592520714,0,0,9.259078026
A,41,0,0,3.007446766,4.022032738,8.591654778,0,0,9.25830555
A,42,0,0,3.007293701,4.022242069,8.591256142,0,0,9.257950783
A,43,0,0,3.007408619,4.02208519,8.591554642,0,0,9.258216858
A,44,0,0,3.005915642,4.024123192,8.587674141,0,0,9.25475502
A,45,0,0,3.004053831,4.026663303,8.582836151,0,0,9.250439644
A,46,0,0,3.006467581,4.023369312,8.589109421,0,0,9.256034851
A,47,0,0,3.007204533,4.022363663,8.591025352,0,0,9.257743835
A,48,0,0,3.004401684,4.026186943,8.583745003,0,0,9.251249313
A,49,0,0,3.007514238,4.021940708,8.591830254,0,0,9.258461952
A,50,0,0,3.007666349,4.021733284,8.592225075,0,0,9.258814812
A,51,0,0,3.007773876,4.021585941,8.592505455,0,0,9.259064674
A,52,0,0,3.007355213,4.022157669,8.591416359,0,0,9.25809288
A,53,0,0,3.007656336,4.021746635,8.592199326,0,0,9.258791924
A,54,0,0,3.006040812,4.023952007,8.587999344,0,0,9.255045891
A,55,0,0,3.006869316,4.022821426,8.59015274,0,0,9.256966591
A,56,0,0,3.006778955,4.02294445,8.589918137,0,0,9.256756783
A,57,0,0,3.006166935,4.023779869,8.588327408,0,0,9.255337715
A,58,0,0,2.928334951,4.126590252,8.394366264,0,0,9.081505775
A,59,0,0,3.000267267,4.031811237,8.573041916,0,0,9.241698265
A,60,0,0,3.006895304,4.022785664,8.590220451,0,0,9.257026672
A,61,0,0,3.007178545,4.022398949,8.590956688,0,0,9.257683754
A,62,0,0,3.007562399,4.021875381,8.591955185,0,0,9.258573532
A,63,0,0,3.004441261,4.026132584,8.583847046,0,0,9.251340866
A,64,0,0,3.007787228,4.021567822,8.592539787,0,0,9.259095192
A,65,0,0,3.007839441,4.021496773,8.592675209,0,0,9.259216309
A,66,0,0,3.007480145,4.021987438,8.591741562,0,0,9.258383751
A,67,0,0,3.007831097,4.021508217,8.592654228,0,0,9.259196281
A,68,0,0,3.007280827,4.022259712,8.591222763,0,0,9.257920265
A,69,0,0,3.006907701,4.022768974,8.590252876,0,0,9.257055283
A,70,0,0,3.006792545,4.022925854,8.589953423,0,0,9.256788254
A,71,0,0,3.006067753,4.023915291,8.588068962,0,0,9.25510788
A,72,0,0,2.99937129,4.033044815,8.570689201,0,0,9.239602089
A,73,0,0,3.005485058,4.024709702,8.586556435,0,0,9.25375843
A,74,0,0,3.004929066,4.025468349,8.585112572,0,0,9.252470016
A,75,0,0,3.00683713,4.022864819,8.590069771,0,0,9.256892204
A,76,0,0,3.002361298,4.02896452,8.578457832,0,0,9.246531487
A,77,0,0,2.999967813,4.032227039,8.572247505,0,0,9.240990639
