city,data,index,inf,loc,loc_num
A,21200501,1974938.500008753,0,0,1124796.0
A,21200502,1974938.500008753,0,0,1124796.0
A,21200503,1974938.500008753,0,0,1124796.0
A,21200504,2021239.8800091168,0,0,1137724.4
A,21200505,2021239.8800091173,0,0,1137724.4
A,21200506,1974938.500008753,0,0,1124796.0
A,21200507,2067541.2600094813,0,0,1150652.8
A,21200508,2082975.0533429359,0,0,1154962.2666666666
A,21200509,2206445.4000105737,0,0,1189438.0
A,21200510,2144710.2266767547,0,0,1172200.133333333
A,21200511,2153135.642232296,0,0,1167053.7111111109
A,21200512,2135365.7229728703,0,0,1159592.2814814814
A,21200513,2108251.30000956,0,0,1139523.0
A,21200514,2157431.774331001,0,0,1161629.760493827
A,21200515,2164787.1247837115,0,0,1162308.920164609
A,21200516,2228678.300010573,0,0,1185774.0
A,21200517,2196732.7123971423,0,0,1174041.460082305
A,21200518,2159317.804139009,0,0,1166096.1533607682
A,21200519,2136197.638848488,0,0,1159536.871147691
A,21200520,2052542.4000093131,0,0,1138473.0
A,21200521,2130695.0796227492,0,0,1155659.2903825638
A,21200522,2128860.893214169,0,0,1154366.7634608548
A,21200523,2203345.200010446,0,0,1168968.0
A,21200524,2166103.0466123074,0,0,1161667.3817304277
A,21200525,2160048.948877341,0,0,1153944.4605768092
A,21200526,2145616.8651663056,1,0,1148936.6141024122
A,21200527,2110698.600009269,19,0,1131198.0
A,21200528,2147941.1883953046,33,0,1154632.204700804
A,21200529,2148715.962804971,41,0,1156530.734900268
A,21200530,2187508.100010339,59,0,1183762.0
A,21200531,2168112.031407655,63,0,1170146.3674501341
A,21200601,2023439.1771417756,163,0,1212691.4558167113
A,21200602,1968749.5361855875,420,0,1222334.6077556151
A,21200603,1714697.400007332,165,0,1284166.0
A,21200604,1794417.3120667825,189,0,1263126.5359185385
A,21200605,1736306.5706938475,156,0,1276723.8453061795
A,21200606,1699805.0000074282,46,0,1282879.0
A,21200607,1718055.7853506382,84,0,1279801.4226530895
A,21200608,1696785.4617884234,75,0,1278274.8075510298
A,21200609,1695778.949048755,48,0,1276740.0767347063
A,21200610,1672495.600007204,36,0,1272144.0
A,21200611,1674013.1496874914,60,0,1271953.358911569
A,21200612,1685148.9743148375,29,0,1274314.9443083992
A,21200613,1653764.9000065138,38,0,1266976.0
A,21200614,1676240.3146129602,32,0,1272425.675990935
A,21200501,744238.5999993816,0,1,237837.0
A,21200502,744238.5999993816,0,1,237837.0
A,21200503,744238.5999993816,0,1,237837.0
A,21200504,758264.0199993742,0,1,239533.8
A,21200505,758264.0199993742,0,1,239533.8
A,21200506,744238.5999993816,0,1,237837.0
A,21200507,772289.4399993669,0,1,241230.6
A,21200508,776964.5799993643,0,1,241796.2
A,21200509,814365.6999993447,0,1,246321.0
