city,data,index,inf,loc,loc_num
C,21200501,66313.79999999746,0,0,11378.0
C,21200502,66313.79999999746,0,0,11378.0
C,21200503,66313.79999999746,0,0,11378.0
C,21200504,66011.33999999732,0,0,11416.2
C,21200505,66011.33999999732,0,0,11416.2
C,21200506,66313.79999999746,0,0,11378.0
C,21200507,65708.87999999723,0,0,11454.4
C,21200508,65608.05999999719,0,0,11467.133333333333
C,21200509,64801.499999996886,0,0,11569.0
C,21200510,65204.77999999704,0,0,11518.066666666666
C,21200511,64321.92666666357,0,0,11460.355555555556
C,21200512,64162.06888888579,0,0,11424.14074074074
C,21200513,62959.49999999678,0,0,11294.0
C,21200514,63509.756296293206,0,0,11387.380246913579
C,21200515,63292.31876542902,0,0,11375.126748971192
C,21200516,63407.69999999707,0,0,11444.0
C,21200517,63350.00938271305,0,0,11409.563374485595
C,21200518,62898.136460902366,0,0,11366.521124828532
C,21200519,62728.28194787079,0,0,11340.69483310471
C,21200520,61936.69999999696,0,0,11246.0
C,21200521,63116.66064928827,0,0,11283.89827770157
C,21200522,63246.12021642742,1,0,11264.96609256719
C,21200523,64684.99999999706,0,0,11265.0
C,21200524,63965.560108212245,0,0,11264.983046283596
C,21200525,64512.95336940213,4,0,11252.994348761198
C,21200526,64455.604492537146,4,0,11248.992465014931
C,21200527,64888.29999999709,0,0,11229.0
C,21200528,64375.468164177175,3,0,11224.330821671643
C,21200529,64348.756054723846,4,0,11216.110273890547
C,21200530,63782.49999999728,3,0,11195.0
C,21200531,64065.628027360566,10,0,11205.555136945271
C,21200601,63132.476009118385,26,0,11098.518378981758
C,21200602,62915.8013454921,34,0,11066.357838642343
C,21200603,61549.299999997325,54,0,10895.0
C,21200604,62622.533781828846,65,0,11114.785946214117
C,21200605,62524.77792727442,36,0,11130.928648738038
C,21200606,63402.49999999709,35,0,11383.0
C,21200607,62963.63896363576,44,0,11256.96432436902
C,21200608,62989.01298787666,75,0,11354.988108123009
C,21200609,62851.18398383653,118,0,11345.650810830677
C,21200610,62600.89999999714,129,0,11425.0
C,21200611,63498.22799461023,137,0,11371.883603610224
C,21200612,63324.26065499223,172,0,11349.91447448882
C,21200613,65042.59999999702,211,0,11345.0
C,21200614,63463.43452668662,235,0,11367.489777785942
C,21200501,24599.599999997565,0,1,24548.0
C,21200502,24599.599999997565,0,1,24548.0
C,21200503,24599.599999997565,0,1,24548.0
C,21200504,24575.379999997574,0,1,24596.0
C,21200505,24575.379999997574,0,1,24596.0
C,21200506,24599.599999997565,0,1,24548.0
C,21200507,24551.159999997584,0,1,24644.0
C,21200508,24543.086666664254,0,1,24660.0
C,21200509,24478.499999997613,0,1,24788.0
C,21200510,24510.793333330934,0,1,24724.0
C,21200511,24140.83111110893,0,1,24371.0
C,21200512,24028.2748148127,0,1,24232.0
C,21200513,23433.199999998244,0,1,23601.0
C,21200514,24347.19160493604,0,1,24472.66666666667
C,21200515,24453.497201643822,0,1,24552.88888888889
C,21200516,25580.099999997183,0,1,25585.0
C,21200517,25016.798600820504,0,1,25068.94444444444
C,21200518,24620.93286693862,0,1,24974.648148148146
C,21200519,24301.210489252422,0,1,24771.1975308642
C,21200520,23265.899999998164,0,1,24270.0
C,21200521,24237.370163082607,0,1,24833.39917695473
C,21200522,24216.09005435934,0,1,24854.133058984906
C,21200523,25144.999999997246,0,1,25459.0
C,21200524,24680.54502717829,1,1,25156.56652949245
C,21200525,24960.348342391164,0,1,25169.522176497485
C,21200526,24898.79778985579,0,1,25073.029568663314
C,21200527,25055.49999999793,0,1,24893.0
C,21200528,24924.19926328378,18,1,25113.676522887774
C,21200529,24932.666421093112,7,1,25127.225507629257
C,21200530,24818.299999997616,2,1,25375.0
C,21200531,24875.48321054536,20,1,25251.112753814632
C,21200601,24354.627736847007,18,1,24919.70425127154
C,21200602,24200.070315796806,48,1,24767.939001695395
C,21200603,23370.099999998052,54,1,24133.0
C,21200604,23804.223438597583,57,1,24298.9796672318
C,21200605,23672.274479531177,45,1,24142.65988907727
C,21200606,23842.499999997897,66,1,23996.0
C,21200607,23757.387239764543,99,1,24069.329944538636
C,21200608,23687.695746586855,122,1,23854.10998151288
C,21200609,23636.094328783172,129,1,23806.813308683842
C,21200610,23463.19999999813,138,1,23497.0
C,21200611,23915.464776259658,193,1,23922.93776956128
C,21200612,23851.157015231674,185,1,23935.865167382774
