city,data,index,inf,loc,loc_num
D,21200501,426460.1999997368,0,0,231052.0
D,21200502,426460.1999997368,0,0,231052.0
D,21200503,426460.1999997368,0,0,231052.0
D,21200504,434348.3199997179,0,0,233002.0
D,21200505,434348.3199997179,0,0,233002.0
D,21200506,426460.1999997368,0,0,231052.0
D,21200507,442236.43999969907,0,0,234952.0
D,21200508,444865.8133330261,0,0,235602.0
D,21200509,465900.7999996425,0,0,240802.0
D,21200510,455383.3066663343,0,0,238202.0
D,21200511,456998.7688885525,0,0,237992.0
D,21200512,454031.4251848557,0,0,237055.33333333328
D,21200513,449712.19999968045,0,0,234972.0
D,21200514,456788.54172806547,0,0,237155.77777777772
D,21200515,457707.58057580213,0,0,237189.25925925927
D,21200516,466621.9999996604,0,0,239440.0
D,21200517,462164.79028773133,0,0,238314.6296296296
D,21200518,454095.0634290369,0,0,237293.8765432099
D,21200519,449919.4179054957,0,0,236578.5020576132
D,21200520,433498.39999971905,0,0,234127.0
D,21200521,449460.9726349553,0,0,236699.50068587108
D,21200522,449308.1575447752,0,0,236739.83356195703
D,21200523,464965.0999996512,0,0,239393.0
D,21200524,457136.6287722133,0,0,238066.41678097853
D,21200525,456861.8095905147,0,0,236551.1389269928
D,21200526,454160.7127874692,0,0,235603.8519026571
D,21200527,448483.6999996795,0,0,232194.0
D,21200528,454800.9042622636,0,0,236211.95063421899
D,21200529,455014.3014205285,0,0,236414.6502114063
D,21200530,461758.2999996422,0,0,240838.0
D,21200531,458386.3007100853,7,0,238626.32510570317
D,21200601,448476.1002364866,3,0,236104.7750352344
D,21200602,444048.7003154348,2,0,234527.0333803125
D,21200603,425283.6999997325,21,0,228850.0
D,21200604,436874.4334382762,19,0,233137.6777934375
D,21200605,434483.01114589005,37,0,232674.5592644792
D,21200606,441290.8999996615,65,0,236036.0
D,21200607,437886.9555727758,59,0,234355.2796322396
D,21200608,434024.98519072396,60,0,233369.42654407988
D,21200609,431603.0135877449,94,0,232480.56872543984
D,21200610,422897.0999997346,131,0,229717.0
D,21200611,436367.1711957108,154,0,233468.52290847996
D,21200612,436230.10425772384,205,0,233599.79963503988
D,21200613,454601.3999996529,313,0,238208.0
D,21200614,436339.75780811335,363,0,233494.77825379194
D,21200501,51707.69999999037,0,1,39941.0
D,21200502,51707.69999999037,0,1,39941.0
D,21200503,51707.69999999037,0,1,39941.0
D,21200504,53054.139999990184,0,1,40373.0
D,21200505,53054.13999999018,0,1,40373.0
D,21200506,51707.69999999037,0,1,39941.0
D,21200507,54400.57999999001,0,1,40805.0
D,21200508,54849.39333332328,0,1,40949.0
D,21200509,58439.899999989466,0,1,42101.0
D,21200510,56644.64666665638,0,1,41525.0
D,21200511,56432.848888878674,0,1,41302.0
D,21200512,55763.831851841736,0,1,41035.66666666666
D,21200513,54213.999999990185,0,1,40280.0
D,21200514,56134.97728394053,0,1,40958.55555555556
D,21200515,56258.69242797347,0,1,40932.851851851854
D,21200516,58427.09999998968,0,1,41560.0
D,21200517,57342.89621398157,0,1,41246.425925925934
D,21200518,56056.798737987214,0,1,41150.141975308645
D,21200519,55266.698317319715,0,1,41013.52263374486
D,21200520,52400.39999999036,0,1,40644.0
D,21200521,55365.799439099785,0,1,40973.17421124828
D,21200522,55398.833146359815,0,1,40959.72473708276
D,21200523,58430.299999989285,0,1,41262.0
D,21200524,56914.566573174554,0,1,41110.862368541384
D,21200525,56478.222191051354,0,1,40904.95412284713
D,21200526,55827.52958807205,0,1,40785.93883046284
D,21200527,54089.799999990246,0,1,40342.0
D,21200528,56086.343196017064,1,1,40983.97961015428
D,21200529,56172.6143986654,1,1,41049.993203384765
D,21200530,58341.699999988894,3,1,41824.0
D,21200531,57257.15719932715,0,1,41436.99660169239
D,21200601,55597.91906643545,1,1,41073.9988672308
D,21200602,54683.32542191762,3,1,40823.99848964107
D,21200603,51194.8999999903,10,1,39961.0
D,21200604,53380.94180729918,21,1,40541.66616321369
D,21200605,52946.81393575969,27,1,40447.5553877379
D,21200606,54264.5999999896,42,1,40840.0
D,21200607,53605.70696787465,78,1,40643.77769386895
D,21200608,52904.00232261829,67,1,40413.59256462298
D,21200609,52450.46976349449,114,1,40271.456752830636
D,21200610,50841.6999999906,145,1,39757.0
D,21200611,53357.95658782456,203,1,40539.48558427688
D,21200612,53323.58927363186,247,1,40535.88543259991
D,21200613,56781.699999988574,320,1,41590.0
D,21200614,53351.08312498601,294,1,40538.76555394149
D,21200501,126117.40000002868,0,2,64791.0
D,21200502,126117.40000002868,0,2,64791.0
D,21200503,126117.40000002868,0,2,64791.0
D,21200504,127345.80000002874,0,2,65273.8
D,21200505,127345.80000002874,0,2,65273.8
D,21200506,126117.40000002868,0,2,64791.0
D,21200507,128574.20000002887,0,2,65756.59999999999
D,21200508,128983.66666669554,0,2,65917.53333333333
D,21200509,132259.40000002919,0,2,67205.0
D,21200510,130621.53333336234,0,2,66561.26666666666
D,21200511,131108.67777780653,0,2,66463.42222222223
D,21200512,130725.10370373233,0,2,66216.22962962963
D,21200513,130445.10000002805,0,2,65624.0
D,21200514,131521.2679012634,0,2,66412.07654320989
D,21200515,131786.65596710713,0,2,66477.35884773661
D,21200516,133393.6000000299,0,2,67396.0
D,21200517,132590.12798356853,0,2,66936.6794238683
D,21200518,130679.30932787525,0,2,66596.22647462277
D,21200519,129774.54577049037,0,2,66329.63529949704
D,21200520,126054.2000000274,0,2,65456.0
D,21200521,130115.88192351598,0,2,66311.87843316568
D,21200522,130229.66064119118,0,2,66305.95947772189
D,21200523,134518.90000003015,0,2,67150.0
D,21200524,132374.28032061068,0,2,66727.97973886094
D,21200525,133760.1267735568,0,2,66599.32657962032
D,21200526,133507.2023647324,0,2,66415.7687728271
D,21200527,134387.20000002967,0,2,65920.0
D,21200528,133527.00078826357,0,2,66505.25625760903
D,21200529,133533.60026277395,0,2,66535.08541920302
D,21200530,132686.60000002864,1,2,67180.0
D,21200531,133110.1001314013,5,2,66857.54270960152
D,21200601,130269.10004381939,0,2,66318.18090320051
D,21200602,129463.26672508301,1,2,66030.90787093401
D,21200603,125010.60000002828,8,2,64917.0
D,21200604,127607.5222417132,13,2,65774.635956978
D,21200605,126988.94074725662,25,2,65689.21198565932
D,21200606,128348.70000002836,11,2,66376.0
D,21200607,127668.82037364248,22,2,66032.60599282966
D,21200608,127196.34012456547,20,2,65594.53533094322
D,21200609,126812.22016607787,39,2,65334.0471079243
D,21200610,125571.50000002564,29,2,64375.0
D,21200611,128283.64005537705,43,2,65421.349035974774
D,21200612,127999.95345328606,57,2,65552.08957794533
D,21200613,132467.20000002766,93,2,66555.0
D,21200614,128226.90273495884,93,2,65447.49714436888
D,21200501,42148.199999996454,0,3,20608.0
D,21200502,42148.199999996454,0,3,20608.0
D,21200503,42148.199999996454,0,3,20608.0
D,21200504,43055.61999999629,0,3,20823.2
D,21200505,43055.61999999629,0,3,20823.2
D,21200506,42148.199999996454,0,3,20608.0
D,21200507,43963.03999999613,0,3,21038.4
D,21200508,44265.513333329414,0,3,21110.13333333333
D,21200509,46685.299999995645,0,3,21684.0
D,21200510,45475.40666666253,0,3,21397.066666666666
D,21200511,45352.368888884695,0,3,21413.688888888893
D,21200512,44908.05851851439,0,3,21323.585185185188
D,21200513,43896.399999995934,0,3,21160.0
D,21200514,44893.41950616869,0,3,21367.195061728402
D,21200515,44888.539835386786,0,3,21381.731687242802
D,21200516,45875.79999999576,0,3,21618.0
D,21200517,45382.169917691266,0,3,21499.865843621403
D,21200518,44702.58997256113,0,3,21369.288614540463
D,21200519,44311.51996341625,0,3,21286.384819387287
